"","Species","Limb.Width","unitsW","Limb.Length","unitsL"
"1","polar bear",1.90742665100244,"mm",29.1683131513415,"mm"
"2","ringed seal",4.56642981466514,"mm",197.912246937083,"mm"
"3","bearded seal",14.7405735173143,"cm",87.4190626615123,"mm"
"4","northern lemming",19.101940786639,"cm",145.128760073947,"mm"
"5","walrus",11.1802366076949,"cm",326.912821291058,"cm"
"6","grizzly bear",18.9310626215401,"cm",23.7089454191695,"cm"
"7","american black bear",8.93624491963932,"mm",36.5882281928517,"mm"
"8","koala",0.55464717032395,"mm",92.7885320839478,"mm"
"9","arctic fox",17.1906277125368,"mm",78.1739509389515,"cm"
"10","homo sapiens",18.1252544761038,"cm",69.7276880678958,"cm"
